"","Control_Rep1","Control_Rep2","sgRNA6_D3_Rep1","sgRNA6_D3_Rep2","sgRNA7_D3_Rep1","sgRNA7_D3_Rep2","sgRNA6_D5_Rep1","sgRNA6_D5_Rep2","sgRNA7_D5_Rep1","sgRNA7_D5_Rep2","Control","Day3","Day5"
"ENSG00000186481",54.426,56.706,27.713,57.446,37.489,65.828,47.084,76.831,45.613,24.737,55.566,47.119,48.56625
"ENSG00000266145",2.048,5.131,1,2,2,1.02,3.165,3.07,1,1.011,3.5895,1.505,2.0615
"ENSG00000283294",20.498,12.303,8.307,10.949,9.511,18.032,16.264,17.595,20.925,10.264,16.4005,11.69975,16.262
"ENSG00000274214",3,0,0,0,0,0,0,4,1,0,1.5,0,1.25
"ENSG00000265787",2.091,7,5.439,3.53,2,1.141,4.227,3.343,5.463,0,4.5455,3.0275,3.25825
"ENSG00000265766",0,0,0,0,0,0,1.002,0,0,0,0,0,0.2505
"ENSG00000183206",1,0,2,0,1,0,0,0,2,0,0.5,0.75,0.5
"ENSG00000264570",0,1.507,2.007,6.025,2.001,6.012,6.036,4.016,3.01,0,0.7535,4.01125,3.2655
"ENSG00000180777",121.613,162.823,163,219.307,164.741,251.734,211.993,341.458,181.923,178.282,142.218,199.6955,228.414
"ENSG00000265737",2,0,3,1,1,0,1,1,2,2,1,1.25,1.5
"ENSG00000265786",0,0,2,0,0,0,0,1,0,0,0,0.5,0.25
"ENSG00000263618",1,4,1,0,1,3,0,4,1,3,2.5,1.25,2
"ENSG00000266554",969.885,918.634,794.41,1425.02,906.999,1219.36,1198,2265.97,1442,1168.94,944.2595,1086.44725,1518.7275
"ENSG00000264301",3,2,10,2,8,18,5,5,2,0,2.5,9.5,3
"ENSG00000263821",10,11,9,20,18,6,20,17,19,14,10.5,13.25,17.5
"ENSG00000279042",0,0,0,0,0,0,3,0,0,0,0,0,0.75
"ENSG00000266522",1.004,6.015,3.006,4,2.001,4,6.006,0,6.006,3,3.5095,3.25175,3.753
"ENSG00000263635",0,0,0,0,0,0,0,0,0,1,0,0,0.25
"ENSG00000287723",4.357,3,1.064,14.392,1.205,5,1.324,10.925,7.302,1.136,3.6785,5.41525,5.17175
"ENSG00000286293",66.672,76.587,57.214,71.548,63.487,63.334,51.773,75.59,57.134,53.347,71.6295,63.89575,59.461
